KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
衣	y	garment	top hat; clothes		18.00	2.00	deck#6	due@2026-01-09 03:31:42
装	trang	attire	robust; clothes	Attire is more robust than a garment.	18.00	2.00	deck#5	due@2025-07-17 00:43:15
裏	back	back	top hat; scarf; computer		18.00	2.00	deck#6	due@2026-01-09 03:32:05
遠	viễn	distant	earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf; road		18.00	3.00	deck#6	due@2026-01-09 03:32:12
初	sơ	first time	cloak; sword; dagger		18.00	3.00	deck#6	due@2026-01-09 03:32:18
巾	cân	towel			18.00	5.00	deck#6	due@2026-01-09 03:32:24
布	bố	linen	by one’s side; towel		18.00	2.00	deck#6	due@2026-01-09 03:32:30
幅	phúc	hanging scroll	towel; wealth; one; ceiling; mouth; rice field; brains		18.00	2.00	deck#6	due@2026-01-09 03:32:36
帽	mạo	cap	towel; risk; sun; day; eye		18.00	2.00	deck#6	due@2026-01-09 03:32:46
幌	hoảng	canopy	towel; sun; ray	A canopy is a towel to block the suns rays.	18.00	5.00	deck#6	due@2026-01-09 03:41:42
市	thị	market	top hat; towel		18.00	3.00	deck#6	due@2026-01-09 03:41:45
柿	thị	persimmon	tree; wood; market; top hat; towel		18.00	5.00	deck#6	due@2026-01-09 03:41:49
姉	tỉ	elder sister	woman; market; top hat; towel		18.00	4.00	deck#6	due@2026-01-09 03:41:53
帯	đới	sash	buckle; apron; crown; towel		18.00	2.00	deck#6	due@2026-01-09 03:41:58
刺	thích	thorn	tree; wood; belt; sword; sabre; saber		18.00	2.00	deck#6	due@2026-01-09 03:42:01
制	chế	system	cow; belt; sword; sabre; saber		18.00	3.00	deck#6	due@2026-01-09 03:42:06
転	chuyển	revolve	car; rising cloud; two; elbow; wall		18.00	4.00	deck#6	due@2026-01-09 03:42:23
芸	nghệ	technique	flowers; rising cloud; two; elbow; wall		18.00	2.00	deck#6	due@2026-01-09 03:42:27
雨	vũ	rain	weather		18.00	5.00	deck#6	due@2026-01-09 03:42:31
雲	vân	cloud	rain; weather; rising cloud; two; elbow; wall		18.00	2.00	deck#6	due@2026-01-09 03:42:37
曇	đàm	cloudy weather	sun; day; cloud; rain; weather; rising cloud; two; elbow; wall		18.00	2.00	deck#6	due@2026-01-09 03:42:38
冬	đông	winter	walking legs; ice		18.00	4.00	deck#6	due@2026-01-09 03:42:39
天	thiên	heavens	one; ceiling; large		18.00	5.00	deck#6	due@2026-01-09 03:42:39
妖	yêu	bewitched	woman; sapling		18.00	5.00	deck#6	due@2026-01-09 03:42:40
沃	ốc	irrigate	water; water droplets; water pistol; sapling		18.00	5.00	deck#6	due@2026-01-09 03:42:40
橋	kiều	bridge	tree; wood; angel; heavens; mouth; hood; mouth		18.00	2.00	deck#6	due@2026-01-09 03:42:40
嬌		attractive	woman; angel; heavens; mouth; hood; mouth		18.00	5.00	deck#6	due@2026-01-09 03:42:42
立	lập	stand up	vase		18.00	4.00	deck#6	due@2026-01-09 03:42:45
章	chương	badge	vase; stand up; sunflower; early; sun; day; ten; needle		18.00	2.00	deck#6	due@2026-01-09 03:42:45
競	cạnh	vie	vase; stand up; elder brother; teenager; mouth; human legs		18.00	2.00	deck#6	due@2026-01-09 03:42:46
