KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
手	thủ	hand			23.00	4.00	deck#6	due@2026-01-09 21:20:19
議	nghị	deliberation	words; righteousness	Careful deliberation produces words of righteousness.	23.00	3.00	deck#6	due@2026-08-13 05:15:33
拭	thức	wipe	finger; style	Why carry a handkerchief? I wipe my nose finger-style.	23.00	5.00	deck#6	due@2026-08-13 05:18:41
拉	lạp	yank	finger; vase	He quickly yanked his fingers out of the vase. Maybe no one noticed the attempt to steal the cookies…	23.00	5.00	deck#6	due@2026-08-13 05:10:09
抱	bão	embrace	finger; bound up	Ladies; for a truly intimate embrace your fingers should be wrapped around your man's….imagine binding his snake with your fingers.	23.00	3.00	deck#6	due@2026-08-13 05:11:18
招	chiêu	beckon	finger; summon	A Geisha beckons you with her index finger, and as you approach she runs her fingers all over her body in an attempt to seduce you. Keyword meaning : “invite”.	23.00	3.00	deck#6	due@2026-08-13 05:09:56
打	đả	strike	finger; nail	To do the most damage when you strike someone, use your	23.00	3.00	deck#6	due@2026-08-13 05:09:07
捨	xả	discard	finger; cottage	Someone stuck their fingers in my cottage cheese! I'm going to have to discard the lot!	23.00	2.00	deck#6	due@2026-08-13 05:10:21
指	chỉ	finger	fingers; delicious	Finger lickin' delicious.	23.00	3.00	deck#6	due@2026-08-13 05:20:03
持	trì	hold	finger; temple	At a Buddhist temple people hold their fingers together in prayer.	23.00	4.00	deck#6	due@2026-08-13 05:20:26
拶	tạt	imminent	finger; stream; evening	The old lady said that there was a flood imminent, because her fingers hurt in the evening.	23.00	5.00	deck#4	due@2025-09-17 05:17:47
損	tổn	damage	finger; employee	Boss yells,	23.00	2.00	deck#6	due@2026-08-13 05:11:48
拾	thập	pick up	finger; fit	If it can FIT in your HAND, you can PICK IT UP.	23.00	2.00	deck#6	due@2026-08-13 05:17:16
担	đảm	shouldering	finger; nightbreak	A surgeon works 'til nightbreak, fingers working with precision, shouldering the responsibility of saving the life of the person on the operating table.	23.00	2.00	deck#6	due@2026-08-13 05:14:13
接	tiếp	touch	finger; vase; woman	A pervert meets a woman. The pervert tries to touch the women with his lustful fingers. The woman takes a vase, lifts it over her head and smashes it on the pervert's head…	23.00	2.00	deck#6	due@2026-08-13 05:19:22
掛	quải	hang	finger; ivy; magic	Wingadium Leviosa	23.00	3.00	deck#6	due@2026-08-13 05:12:56
捗	duệ	make headway	finger; walk	You can't just point with a finger and make headway, you have to actually walk* there.	23.00	5.00	deck#4	due@2025-09-17 05:14:46
研	nghiên	polish	stone; two hands	You use two hands to polish a stone: one to hold it and the other to rub it.	23.00	4.00	deck#6	due@2026-08-13 05:16:01
弄	lộng	tinker with	king; two hands	The king used both hands to tinker with himself in his spare time.	23.00	5.00	deck#6	due@2026-08-13 05:16:08
械	giới	contraption	wood; commandments	In the medieval days, all who broke the commandments were locked up in a wooden contraption. (AKA Wooden Stocks).	23.00	2.00	deck#6	due@2026-08-13 05:19:36
鼻	tỵ	nose	drop; brains; two hands	I sneezed so hard that through my NOSE I blew out my BRAINS into BOTH HANDS.	23.00	2.00	deck#6	due@2026-08-13 05:10:44
型	hình	mould	punishment; dirt	As a PUNISHMENT they made me lay face down in the DIRT leaving a nice imprinted MOULD of my whole BODY.	23.00	2.00	deck#6	due@2026-08-13 05:12:47
才	tài	genius	genie	Oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo! Genius!	23.00	3.00	deck#6	due@2026-08-13 05:17:29
財	tài	property	money; genius	If you're a money genius, you can afford a lot of property.	23.00	3.00	deck#6	due@2026-08-13 05:20:16
材	tài	lumber	tree; genie	A TREE GENIUS is a LUMBER jack. Duh	23.00	2.00	deck#6	due@2026-08-13 05:19:28
存	tồn	suppose	genie; child	How do you suppose they manage to cram a genie inside a bottle? Well, I suppose they put him in there while he's still a little child…	23.00	3.00	deck#6	due@2026-08-13 05:10:15
在	tại	exist	genie; soil;	Genie in the bottle does exist but you need to dig deep into the soil to find one.	23.00	3.00	deck#6	due@2026-08-13 05:09:15
吸	hấp	suck	mouth; reach out	An open mouth and reaching hands : a baby wants to suck at his mother's breast.	23.00	3.00	deck#6	due@2026-08-13 05:13:50
丈	trượng	length	stick; tucked under the arm		23.00	5.00	deck#6	due@2026-08-13 05:18:00
史	sử	history	mouth; tucked under the arm	I sleep in history class with my mouth tucked under my arm.	23.00	2.00	deck#6	due@2026-08-13 05:10:01
更	canh	grow late	Ameratasu; tucked under the arm	It's starting to GROW LATE, so Ameratasu (Sun God) will take the SUN, and TUCK IT UNDER HIS ARM, and walk away. In the morning, he'll bring it back, so don't worry.	23.00	3.00	deck#6	due@2026-08-13 05:19:49
硬	ngạnh	stiff	stone; grow late	Stones are so stiff that even if you spent all day straining trying to change their shape, it would grow late far before you ever accomplished your task.	23.00	2.00	deck#4	due@2025-09-17 05:13:39
梗	ngạnh	spiny	tree; grow late	I learned this one from the movie Evil Dead, but when it grows late, trees change shape and become spiny creatures! Lesson: don't go out at night.	23.00	5.00	deck#4	due@2025-09-17 05:16:21
双	song	pair	crotch		23.00	2.00	deck#6	due@2026-08-13 05:09:28
隻	chích	vessels	turkey; crotch	Donald Duck is a big bird that does not wear pants. It's good to use him as a mnemonic because he is a sailor, and this kanji is used to count vessels.	23.00	2.00	deck#4	due@2025-09-17 05:12:32
怒	nộ	angry	woman; crotch; heart	This woman is angry because of the guys in the previous frame who pay more attention to her crotch than her heart.	23.00	3.00	deck#6	due@2026-08-13 05:09:34
友	hữu	friend	by one’s side; crotch	A good friend is always at your side. —- I teach at a Japanese High School, and I often see chummy male students grabbing each other's crotches in a joking manner.	23.00	5.00	deck#6	due@2026-08-13 05:12:12
抜	bạt	slip out	finger; friend	Don't let good friends slip out between your fingers.	23.00	3.00	deck#6	due@2026-08-13 05:17:24
投	đầu	throw	finger; missile	He's a great pitcher. He can throw a split finger fastball that's like a missile..	23.00	3.00	deck#6	due@2026-08-13 05:12:08
股	cổ	thigh	flesh; missile	Chun Li's thunder thighs – the part of her body that lets her kick with the force and speed of a missile.	23.00	5.00	deck#6	due@2026-08-13 05:11:27
設	thiết	establishment	words; missile	Establishment can be attacked by words or by missiles. Writers will use words, whereas militars will use missiles.	23.00	2.00	deck#6	due@2026-08-13 05:11:10
支	chi	branch	needle; crotch	Picture sliding down the branch of a tree (in this case a pine tree or any tree with needles) and getting a bunch of needles stuck in your crotch–ouch!!	23.00	3.00	deck#6	due@2026-08-13 05:20:21
技	kỹ	skill	finger; branch	Balancing a branch on your finger is the prototypical example of a skill that is nothing more than a skill (i.e., it is completely useless).	23.00	2.00	deck#6	due@2026-08-13 05:18:15
枝	chi	bough	tree; branch		23.00	2.00	deck#6	due@2026-08-13 05:18:26
軽	khinh	lightly	car; toilet paper	Car made out of toilet paper would be very light.	23.00	2.00	deck#6	due@2026-08-13 05:19:44
反	phản	anti-	anti		23.00	3.00	deck#6	due@2026-08-13 05:13:01
坂	phản	slope	soil; anti	A slope is anti-flat soil.	23.00	2.00	deck#6	due@2026-08-13 05:15:38
板	bản	plank	tree; anti	Tree are anti plank	23.00	2.00	deck#6	due@2026-08-13 05:11:56
返	phản	return	road; anti	Pretty obvious: to return is to turn back on the road you're on and go the opposite way.	23.00	3.00	deck#6	due@2026-08-13 05:13:57
販	phiến	marketing	money; anti	The goal of marketing is to get people who are naturally anti-buying to spend their shells (money).	23.00	2.00	deck#6	due@2026-08-13 05:09:41
爪	trảo	claw	vulture		23.00	5.00	deck#6	due@2026-08-13 05:19:54
乳	nhũ	milk	cavity, claw	Drinking milk not only reduces cavity (#96 孔)'s but also strengthens nails (claws)	23.00	2.00	deck#6	due@2026-08-13 05:14:31
浮	phù	floating	water; ducky	Floating rubber ducky!!!	23.00	3.00	deck#6	due@2026-08-13 05:17:56
淫	dâm	lewd	water; vulture; porter	I always knew the Porter was a letch ever since he showed up in the kanji for pregnancy (#507 妊). In fact, he's like a vulture that preys on women. Make sure to splash some cold water on that lewd creep. 淫ら ; 猥ら 【みだら】 (adj-na,n) loose; bawdy; improper; dirty 姦淫 【かんいん】 (n,vs) adultery.	23.00	5.00	deck#6	due@2026-08-13 05:16:47
将	tướng	leader	turtle; claw; glue;	X-men and TMNT join forces: Their new leader is an awsome asshole. He is simply Wolverine and Raphael glued together back to back	23.00	2.00	deck#4	due@2025-09-17 05:11:41
採	thải	pick	finger; vulture; tree	You pick cheries with your fingers, then along comes a giant vulture and picks up the whole tree with its claws.	23.00	2.00	deck#6	due@2026-08-13 05:15:53
菜		vegetable	flowers; vulture; tree		23.00	2.00	deck#6	due@2026-08-13 05:18:09
受	thụ	accept	birdhouse; crotch	The bird house is the brothel (someone else said so) and of course everyone is welcome - thay accept any crotch.	23.00	3.00	deck#6	due@2026-08-13 05:16:58
愛	ái	love	birdhouse; heart; walking legs	If you really love someone, you won't keep them in a cage-like bird house relationship, but rather open the door and let their heart walk around freely. Think less about	23.00	3.00	deck#6	due@2026-08-13 05:17:09
曖	ái	unclear	day; love	His feelings about her were equivocal/unclear, so she spent all day playing	23.00	5.00	deck#6	due@2026-08-13 05:11:01
払	phất	pay	finger; elbow	You're at a restaurant and raise your finger to indicate to the waiter that you want to pay. Your friend elbows you in the ribs – it's his shout, and he insists on taking care of the bill.	23.00	3.00	deck#6	due@2026-08-13 05:09:48
広	quảng	wide	cave; elbow	The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.	23.00	4.00	deck#6	due@2026-08-13 05:10:50
勾	câu	hooked	0.00	A friend hooked someone literally, by binding them up with their hooked elbow.	23.00	5.00	deck#6	due@2026-08-13 05:12:03
鉱	khoáng	mineral	metal; wide	A wide range of metals are classed as minerals.	23.00	2.00	deck#6	due@2026-08-13 05:09:23
台	đài	pedestal	elbow; mouth	When someone's elbow is above your mouth he/she is probably standing on a pedestal.	23.00	4.00	deck#6	due@2026-01-10 16:55:33
治	trị	reign	water; pedestal	From his water pedestal Neptune reigns over his Sea Empire.	23.00	3.00	deck#6	due@2026-01-10 16:55:37
始	thủy	commence	woman; pedestal	Many men, before they commence their relationship with the woman of their desires, place her on something of a pedestal, which often leads to disappointment later on.	23.00	4.00	deck#6	due@2026-01-10 16:55:44
