JP	HIRAGANA	VN	MEANING
男性	だんせい	nam tính	nam giới	deck#3	due@2025-03-10 06:06:51
女性	じょせい	nữ tính	nữ giới	deck#3	due@2025-03-10 06:06:52
高齢	こうれい	cao linh	tuổi cao	deck#3	due@2025-03-10 06:06:46
年上	としうえ	niên thượng	lớn tuổi hơn	deck#3	due@2025-03-10 06:07:05
目上	めうえ	mục thượng	cấp trên/người trên	deck#3	due@2025-03-10 06:06:55
先輩	せんぱい	tiền bối	người đi trước	deck#3	due@2025-03-10 06:06:45
後輩	こうはい	hậu bối	người đi sau	deck#3	due@2025-03-10 06:07:01
上司	じょうし	thượng ty	ông chủ/cấp trên	deck#3	due@2025-03-13 07:07:02
相手	あいて	tương thủ	đối phương	deck#3	due@2025-03-10 06:06:48
知り合い	しりあい	tri hợp	người quen	deck#3	due@2025-03-10 06:07:02
友人	ゆうじん	hữu nhân	bạn	deck#3	due@2025-03-10 06:06:49
仲	なか	trọng	quan hệ	deck#3	due@2025-03-10 06:06:58
生年月日	せいねんがっぴ			deck#3	due@2025-03-10 06:06:54
誕生	たんじょう	đản sinh	sự ra đời	deck#3	due@2025-03-10 06:07:06
年	とし	niên	năm	deck#3	due@2025-03-10 06:06:47
出身	しゅっしん	xuất thân	xuất thân	deck#3	due@2025-03-10 06:06:57
故郷	こきょう	cố hương	quê hương	deck#3	due@2025-03-10 06:06:59
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns JP
#--showcolumns JP,HIRAGANA,VN,MEANING
